StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,UserLanguage,Q9,Q1,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,"Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social",Q2_6,Q2_7,Q2_8,Q5,Q9,Q6,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,Q3,Q7,CRN,Nombre de Experiencia,OSF,Periodo,Tipo de Formato
Fecha de inicio,Fecha final,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Datos de referencia externos,Latitud de ubicación,Longitud de ubicación,Idioma del usuario,ID,Selecciona la Organización Socioformadora y el nombre del proyecto en el que participaste:,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - a) Al concluir este Proyecto Solidario.,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - b) Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible.,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - c) Nivel de valor aportado a la organización socio formadora a través de tus entregables,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - e) Momentos de interacción y escucha con los beneficiarios/destinatarios del proyecto,"1. Evalúa tu nivel satisfacción en los siguientes aspectos: - f)  Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social.",1. Evalúa tu nivel satisfacción en los siguientes aspectos: - g) Experiencia de colaboración con la organización socio formadora,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - h) Seguimiento y liderazgo de la organización socio formadora,"1. Evalúa tu nivel satisfacción en los siguientes aspectos: - i) Atención y servicio del área que administra el Servicio Social en el campus (asesoría y orientación, información puntual, atención de dudas, seguimiento de incidentes)",2. La Organización Socio Formadora ¿ofreció retroalimentación sobre el desarrollo del Proyecto Solidario y tu desempeño?,3. ¿Consideras interesante la causa social del socio formador?,4. Escribe algún comentario que te interese compartir con la organización socio formadora:,"5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - a) Ser sensible ante la vulnerabilidad, el dolor y el sufrimiento del otro y actuar con el fin de eliminarlo, aliviarlo o evitarlo, a través de acciones justas alejadas de la pasión egoísta y/o de sentimientos de superioridad","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - b) Actuar con responsabilidad, con el fin de asegurar el bienestar de la colectividad, a través de acciones que garantizan el acceso a los derechos humanos, el empoderamiento de los ciudadanos y de las comunidades, así como el cuidado, mantenimiento y uso sostenible de los recursos y bienes comunes","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - c) Actuar con respeto ante la diversidad de género, sexual, étnica, cultural, de capacidades, generacional, religiosa y socioeconómica mostrando una cordial aceptación de las diferencias y la capacidad para gestionar de manera razonable los conflictos","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - e) Promover soluciones cooperativas en problemas o coordinar acciones colectivas con el fin de mejorar la calidad de vida de la sociedad, fomentando la cultura de la legalidad, los derechos humanos y/o el fortalecimiento de la democracia",6. Comparte algo en particular sobre la experiencia de servicio social que acabas de vivir. Nos interesa conocer tu opinión:,6.1 Tu comentario sobre la experiencia es:,CRN,Nombre de Experiencia,OSF,Periodo,Tipo de Formato
31/01/23 18:53,31/01/23 18:54,IP Address,189.152.251.184,100,73,True,31/01/23 18:54,R_3EHkAlt0qiivHRE,,,,,25.6802,-100.3065,ES-ES,@00001,"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Directo al corazón","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Muy interesante y muy buenas dinámicas,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",,,,,,,
31/01/23 20:40,31/01/23 20:45,IP Address,189.152.60.192,100,353,True,31/01/23 20:45,R_88Inb8bwouuVsUF,,,,,25.6546,-100.2967,ES-ES,@00002,Red Recolector SA de CV - Red Ambiental en San Pedro de Pinta,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me encanto el estar en el proyecto de Lideres con sentido humano en el cual me asignaron a red de recolectores donde pase un tiempo increible con mis compañeros.,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Me encanto el lugar donde fue mi servicio que fue en san pedro de pinta en donde conocí a gente increíble y la pase muy bien con un grupo de personas que también les encanto entonces fue un servicio muy especial.,Reconocimiento,,,,,
31/01/23 20:53,31/01/23 20:55,IP Address,187.189.187.209,100,157,True,31/01/23 20:55,R_pPNyD5OxV894Pex,,,,,25.6677,-100.2514,ES-ES,@00003,Red Recolector SA de CV - Red Ambiental en San Pedro de Pinta,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 4, 4,Sí,Sí,Me hubiera gustado que nos hubieran dejado mas material a parte de los libros de colorear para que los niños pudieran realizar otro tipo de actividades (como las macetas).,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Muy buen servicio social, disfrute la experiencia.",Reconocimiento,,,,,
31/01/23 20:52,31/01/23 20:55,IP Address,187.192.27.77,100,229,True,31/01/23 20:55,R_r1mDgWEl8oOBlE5,,,,,25.6546,-100.2967,ES-ES,@00004,"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Directo al corazón","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Esta increíble la iniciativa y me gustó mucho ser parte de este servicio social ,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Es una manera muy práctica y sencilla y tiene un impacto gigante en muchas personas ,Reconocimiento,,,,,
31/01/23 21:08,31/01/23 21:09,IP Address,187.190.181.80,100,85,True,31/01/23 21:09,R_2sc0qemn9vDDJIi,,,,,25.6554,-100.3258,ES-ES,@00005,"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Wake up","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me gusto mucho el promover la importancia de ayudar a los demás.,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Me gusto mucho el promover la importancia de ayudar a los demás.,Reconocimiento,,,,,
31/01/23 21:24,31/01/23 21:26,IP Address,187.162.39.238,100,98,True,31/01/23 21:26,R_verAK3IO4KcJOBH,,,,,25.6554,-100.3258,ES-ES,@00006,"Familia de Santa María, A.C. - FSM Radio - Producción y edición de video","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"La comunicación con la señora Mina Colina fue muy buena, aunque con la encargada del servicio social, Brenda, no tanto.","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",,,,,,,
31/01/23 21:43,31/01/23 21:48,IP Address,189.218.4.18,100,304,True,31/01/23 21:48,R_1PaYI9ATbiweU7y,,,,,25.6546,-100.2967,ES-ES,@00007,"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Saturday School","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"Me pareció muy interesante la organización, no había escuchado de ella, pero al hacerlo me sentí muy satisfecha de la decisión que había tomado al elegirla para así poder ayudar a acercarse a sus objetivos y metas a cumplir. ","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Me pareció una experiencia muy buena, ya que tuve la oportunidad de conocer a una nueva organización y poner mi granito de arena para ayudarla a cumplir sus objetivos. ",Reconocimiento,,,,,
31/01/23 22:18,31/01/23 22:22,IP Address,189.219.65.97,100,245,True,31/01/23 22:22,R_2wgEU88qcS4ggxm,,,,,25.6554,-100.3258,ES-ES,@00008,"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Alimentos con amor","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"me encanta su propósito como asociación, que se encarguen de ayudar a estas comunidades vulnerables y su atención hacia los participantes es muy buena también.","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Tener la oportunidad de poder ayudar brindando alimentos hacia las personas que lo necesiten al igual que posters, videos e infograficos donde se hable sobre la importancia de la buena alimentacion tambien me parece una gran idea. Es importante ayudar a todas aquellas personas que no tienen los mismos recursos para tener la misma educacion que otros a entender sobre su importancia y los riesgos y beneficios que trae con ella. ",Reconocimiento,,,,,
31/01/23 22:38,31/01/23 22:40,IP Address,201.141.184.147,100,78,True,31/01/23 22:40,R_WcW1iwtPrnPH0yd,,,,,19.2754,-98.9419,ES-ES,@00009,Operación Pollo TRC A.C. - Yo Apollo,"
5 Muy Satisfecho", 4, 4, 3, 3, 4, 4, 4,Sí,Sí,NA,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",NA,Reconocimiento,,,,,
